13,Hans-Joachim Stuck,4,12,Ret,Ret,Ret,4,Ret,7,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,8,
14,Carlos Pace,10,Ret,9,6,Ret,9,8,4,8,4,Ret,Ret,Ret,7,Ret,Ret,7,
15,Alan Jones,,,NC,9,5,Ret,13,Ret,5,10,Ret,8,12,16,8,4,7,
16,Carlos Reutemann,12,Ret,Ret,4,Ret,Ret,Ret,11,Ret,Ret,Ret,Ret,9,,,,3,
17,Emerson Fittipaldi,13,17,6,Ret,DNQ,6,Ret,Ret,6,13,Ret,Ret,15,Ret,9,Ret,3,
18,Chris Amon,,14,8,5,Ret,13,Ret,,Ret,Ret,,,,DNS,,,2,
19,Vittorio Brambilla,Ret,8,Ret,Ret,Ret,Ret,10,Ret,Ret,Ret,Ret,6,7,14,Ret,Ret,1,
20,Rolf Stommelen,,,,,,,,,,6,,12,Ret,,,,1,
—,Harald Ertl,,15,DNQ,DNQ,Ret,DNQ,Ret,Ret,7,Ret,8,Ret,16,DNS,13,8,0,
—,Jean-Pierre Jarier,Ret,Ret,7,Ret,9,8,12,12,9,11,Ret,10,19,18,10,10,0,
—,Jacky Ickx,8,16,DNQ,7,DNQ,DNQ,,10,DNQ,,,Ret,10,13,Ret,,0,
—,Larry Perkins,,,,13,8,DNQ,Ret,,,,,Ret,Ret,17,Ret,Ret,0,
—,Henri Pescarolo,,,,,,DNQ,,Ret,Ret,DNQ,9,11,17,19,NC,,0,
—,Arturo Merzario,,,DNQ,Ret,Ret,DNQ,14,9,Ret,Ret,Ret,Ret,DNS,Ret,Ret,Ret,0,
—,Renzo Zorzi,9,,,,,,,,,,,,,,,,0,
—,Noritake Takahara,,,,,,,,,,,,,,,,9,0,
—,Michel Leclère,,13,DNQ,10,11,11,Ret,13,,,,,,,,,0,
—,Brett Lunger,,11,DNQ,DNQ,Ret,,15,16,Ret,Ret,10,,14,15,11,,0,
—,Bob Evans,,10,DNQ,,,,,,Ret,,,,,,,,0,
—,Alessandro Pesenti-Rossi,,,,,,,,,,14,11,DNQ,18,,,,0,
—,Ingo Hoffmann,11,,DNQ,DNQ,,,,DNQ,,,,,,,,,0,
—,Masahiro Hasemi,,,,,,,,,,,,,,,,11,0,
—,Loris Kessel,,,,DNQ,12,,Ret,DNQ,,,NC,,,,,,0,
—,Lella Lombardi,14,,,,,,,,DNQ,DNQ,12,,,,,,0,
—,Alex Ribeiro,,,,,,,,,,,,,,,12,,0,
—,Warwick Brown,,,,,,,,,,,,,,,14,,0,
—,Guy Edwards,,,,,DNQ,,,17,Ret,15,,,DNS,20,,,0,
—,Patrick Nève,,,,,Ret,,,18,,,,,,,,,0,
—,Hans Binder,,,,,,,,,,,Ret,,,,,Ret,0,
—,Ian Ashley,Ret,,,,,,,,,,,,,,,,0,
—,Ian Scheckter,,Ret,,,,,,,,,,,,,,,0,
—,Boy Hayje,,,,,,,,,,,,Ret,,,,,0,
—,Conny Andersson,,,,,,,,,,,,Ret,,,,,0,
—,Kazuyoshi Hoshino,,,,,,,,,,,,,,,,Ret,0,
—,Otto Stuppacher,,,,,,,,,,,,,DNS,DNQ,DNQ,,0,
—,Masami Kuwashima,,,,,,,,,,,,,,,,DNS,0,
—,Emilio de Villota,,,,DNQ,,,,,,,,,,,,,0,
—,Emilio Zapico,,,,DNQ,,,,,,,,,,,,,0,
—,Jac Nellemann,,,,,,,DNQ,,,,,,,,,,0,
—,Damien Magee,,,,,,,,DNQ,,,,,,,,,0,
—,Mike Wilds,,,,,,,,,DNQ,,,,,,,,0,
—,Divina Galica,,,,,,,,,DNQ,,,,,,,,0,
—,Tony Trimmer,,,,,,,,,,,,,,,,DNQ,0,
Pos,Driver,BRA,RSA,USW,ESP,BEL,MON,SWE,FRA,GBR,GER,AUT,NED,ITA,CAN,USA,JPN,Pts,
