0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,Giancarlo Fisichella,Ret,6,7,Ret,Ret,2,2,9,5,RetP,7,8,Ret,8,6,8,16,
10,Ralf Schumacher,Ret,Ret,Ret,7,11,Ret,Ret,16,6,5,6,9,2,3,Ret,Ret,14,
11,Jean Alesi,Ret,9,5,6,10,12†,Ret,7,Ret,Ret,10,7,3,5,10,7,9,
12,Rubens Barrichello,Ret,Ret,10,Ret,5,Ret,5,10,Ret,Ret,Ret,Ret,DNS,10,11,Ret,4,
13,Mika Salo,Ret,Ret,Ret,9,Ret,4,Ret,13,Ret,Ret,14,Ret,DNS,Ret,14,Ret,3,
14,Pedro Diniz,Ret,Ret,Ret,Ret,Ret,6,9,14,Ret,Ret,Ret,11,5,Ret,Ret,Ret,3,
15,Johnny Herbert,6,11†,Ret,Ret,7,7,Ret,8,Ret,8,Ret,10,Ret,Ret,Ret,10,1,
16,Jarno Trulli,Ret,Ret,11,Ret,9,Ret,Ret,Ret,Ret,10,12,Ret,6,13,Ret,12†,1,
17,Jan Magnussen,Ret,10,Ret,Ret,12,Ret,6,,,,,,,,,,1,
18,Shinji Nakano,Ret,Ret,13,Ret,14,9,7,17†,8,11,Ret,15,8,Ret,15,Ret,0,
19,Esteban Tuero,Ret,Ret,Ret,8,15,Ret,Ret,Ret,Ret,Ret,16,Ret,Ret,11,NC,Ret,0,
20,Ricardo Rosset,Ret,Ret,14,Ret,DNQ,DNQ,8,Ret,Ret,12,DNQ,DNQ,DNS,12,Ret,DNQ,0,
21,Toranosuke Takagi,Ret,Ret,12,Ret,13,11,Ret,Ret,9,Ret,13,14,Ret,9,16,Ret,0,
22,Olivier Panis,9,Ret,15†,11†,16†,Ret,Ret,11,Ret,Ret,15,12,DNS,Ret,12,11,0,
23,Jos Verstappen,,,,,,,,12,Ret,Ret,Ret,13,Ret,Ret,13,Ret,0,
