Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Dries van der Lof,7
Scuderia Franera,Frazer-Nash-Bristol,FN48,Bristol BS1 2.0 L6,D,Ken Wharton,"1, 3, 7–8"
Écurie Richmond,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,Eric Brandon,"1, 3, 5, 8"
Écurie Richmond,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,Alan Brown,"1, 3, 5, 8"
Scuderia Ferrari,Ferrari,500 375S*,Ferrari 500 2.0 L4 Ferrari 375 4.5 V12*,P F,Giuseppe Farina,"1, 3–8"
Scuderia Ferrari,Ferrari,500 375S*,Ferrari 500 2.0 L4 Ferrari 375 4.5 V12*,P F,Piero Taruffi,"1, 3–6, 8"
Scuderia Ferrari,Ferrari,500 375S*,Ferrari 500 2.0 L4 Ferrari 375 4.5 V12*,P F,André Simon,"1, 8"
Scuderia Ferrari,Ferrari,500 375S*,Ferrari 500 2.0 L4 Ferrari 375 4.5 V12*,P F,Alberto Ascari,2–8
Scuderia Ferrari,Ferrari,500 375S*,Ferrari 500 2.0 L4 Ferrari 375 4.5 V12*,P F,Luigi Villoresi,7–8
Enrico Platé,Maserati-Platé,4CLT/48,Platé 2.0 L4,P,Toulo de Graffenried,"1, 4–5, 8"
Enrico Platé,Maserati-Platé,4CLT/48,Platé 2.0 L4,P,Harry Schell,"1, 4–5"
Enrico Platé,Maserati-Platé,4CLT/48,Platé 2.0 L4,P,Alberto Crespo,8
Écurie Espadon,Ferrari,500 212,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,P,Rudi Fischer,"1, 4–6, 8"
Écurie Espadon,Ferrari,500 212,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,P,Peter Hirt,"1, 4–5"
Écurie Espadon,Ferrari,500 212,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,P,Rudolf Schoeller,6
Écurie Espadon,Ferrari,500 212,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,P,Hans Stuck,8
Alfred Dattner,Simca-Gordini,11,Gordini 1500 1.5 L4,E,Max de Terra,1
Leslie D. Hawthorn,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,Mike Hawthorn,"3, 5, 7–8"
English Racing Automobiles Ltd,ERA-Bristol,G,Bristol BS1 2.0 L6,D,Stirling Moss,"3, 5, 7"
Écurie Francorchamps,Ferrari,500,Ferrari 500 2.0 L4,E,Charles de Tornaco,"3, 7–8"
Écurie Francorchamps,Ferrari,500,Ferrari 500 2.0 L4,E,Roger Laurent,6
Arthur Legat,Veritas,Meteor,Veritas 2.0 L6,E,Arthur Legat,3
Robin Montgomerie-Charrington,Aston-Butterworth,NB42,Butterworth 2.0 F4,D,Robin Montgomerie-Charrington,3
Tony Gaze,HWM-Alta,52,Alta F2 2.0 L4,D,Tony Gaze,"3, 5–6, 8"
Robert O'Brien,Simca-Gordini,15,Gordini 1500 1.5 L4,E,Robert O'Brien,3
Peter Whitehead,Alta Ferrari,F2 125/F2,Alta F2 2.0 L4 Ferrari 166 2.0 V12,D,Peter Whitehead,"4–5, 8"
Peter Whitehead,Alta Ferrari,F2 125/F2,Alta F2 2.0 L4 Ferrari 166 2.0 V12,D,Graham Whitehead,5
Escuderia Bandeirantes,Maserati,A6GCM,Maserati A6 2.0 L6,P,Philippe Étancelin,4
Escuderia Bandeirantes,Maserati,A6GCM,Maserati A6 2.0 L6,P,Gino Bianco,5–8
Escuderia Bandeirantes,Maserati,A6GCM,Maserati A6 2.0 L6,P,Eitel Cantoni,"5–6, 8"
Escuderia Bandeirantes,Maserati,A6GCM,Maserati A6 2.0 L6,P,Chico Landi,7–8
Escuderia Bandeirantes,Maserati,A6GCM,Maserati A6 2.0 L6,P,Jan Flinterman,7
Écurie Belge,Simca-Gordini,15,Gordini 1500 1.5 L4,E,Johnny Claes,4–5
Écurie Belge,Simca-Gordini,15,Gordini 1500 1.5 L4,E,Paul Frère,7
Scuderia Marzotto,Ferrari,166/F2,Ferrari 166 2.0 V12,P,Franco Comotti,4
Scuderia Marzotto,Ferrari,166/F2,Ferrari 166 2.0 V12,P,Piero Carini,"4, 6"
Archie Bryde  AHM Bryde,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,Mike Hawthorn,4
Archie Bryde  AHM Bryde,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,Reg Parnell,5
W. S. Aston,Aston-Butterworth,NB41,Butterworth 2.0 F4,D,Bill Aston,"5–6, 8"
Connaught Engineering,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Kenneth McAlpine,"5, 8"
Connaught Engineering,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Ken Downing,5
Connaught Engineering,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Eric Thompson,5
Connaught Engineering,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Dennis Poore,"5, 8"
Connaught Engineering,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Stirling Moss,8
Écurie Écosse,Cooper-Bristol,T20,Bristol BS1 2.0 L6,D,David Murray,5
G. Caprara,Ferrari,500,Ferrari 500 2.0 L4,D,Roy Salvadori,5
Tony Crook,Frazer-Nash-BMW,421,BMW 328 2.0 L6,D,Tony Crook,5
Marcel Balsa,Balsa-BMW,Spécial,BMW 328 2.0 L6,E,Marcel Balsa,6
Fritz Riess,Veritas,RS,Veritas 2.0 L6,?,Fritz Riess,6
Theo Helfrich,Veritas,RS,Veritas 2.0 L6,?,Theo Helfrich,6
Willi Heeks,AFM-BMW,8,BMW 328 2.0 L6,?,Willi Heeks,6
Helmut Niedermayr,AFM-BMW,6,BMW 328 2.0 L6,?,Helmut Niedermayr,6
Adolf Brudes,Veritas,RS,Veritas 2.0 L6,?,Adolf Brudes,6
Motor Presse Verlag,Veritas,Meteor,Veritas 2.0 L6,?,Paul Pietsch,6
Hans Klenk,Veritas,Meteor,Veritas 2.0 L6,?,Hans Klenk,6
Josef Peters,Veritas,RS,Veritas 2.0 L6,?,Josef Peters,6
"""Bernhard Nacke""",Nacke-BMW,HH48[5],BMW 328 2.0 L6,?,Günther Bechem,6
Ludwig Fischer,AFM-BMW,8,BMW 328 2.0 L6,?,Ludwig Fischer,6
Willi Krakau,AFM-BMW,6,BMW 328 2.0 L6,?,Willi Krakau,6
Willi Krakau,Krakau-BMW,Eigenbau,BMW 328 2.0 L6,?,Harry Merkel,6
Ernst Klodwig,Heck-BMW,Eigenbau,BMW 328 2.0 L6,?,Ernst Klodwig,6
Rudolf Krause,Reif-BMW,Eigenbau,BMW 328 2.0 L6,?,Rudolf Krause,6
Ken Downing,Connaught-Lea Francis,A,Lea Francis 2.0 L4,D,Ken Downing,7
Officine Alfieri Maserati,Maserati,A6GCM,Maserati A6 2.0 L6,P,Felice Bonetto,"6, 8"
Officine Alfieri Maserati,Maserati,A6GCM,Maserati A6 2.0 L6,P,Franco Rol,8
Officine Alfieri Maserati,Maserati,A6GCM,Maserati A6 2.0 L6,P,José Froilán González,8
Élie Bayol,OSCA,20,OSCA 2000 2.0 L6,P,Élie Bayol,8
Piero Dusio,Cisitalia-BPM,D46,BPM 2.0 L4,P,Piero Dusio,8
Vicomtesse de Walckiers,Simca-Gordini,15,Gordini 1500 1.5 L4,E,Johnny Claes,8
