0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,Jordan-Peugeot,11,Ret,Ret,4,5,5,Ret,Ret,Ret,9,4,6,6,Ret,5,Ret,9,22
5,Jordan-Peugeot,12,Ret,12,Ret,6,Ret,Ret,Ret,6,8,6,10,Ret,Ret,4,9,5,22
6,Ligier-Mugen-Honda,9,7,6,8,Ret,Ret,1,Ret,Ret,7,Ret,7,5,Ret,Ret,10,7,15
6,Ligier-Mugen-Honda,10,10,8,Ret,10,7,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,6,Ret,Ret,15
7,Sauber-Ford,14,DNS,Ret,9,7,Ret,3,Ret,7,DSQ,9,Ret,Ret,Ret,9†,8,10,11
7,Sauber-Ford,15,8,Ret,Ret,Ret,Ret,4†,4,Ret,Ret,8,8,Ret,Ret,Ret,7,6,11
8,Tyrrell-Yamaha,18,11,9,Ret,DSQ,Ret,Ret,Ret,Ret,Ret,Ret,Ret,7,8,10,12,Ret,5
8,Tyrrell-Yamaha,19,6,5,Ret,DSQ,Ret,5†,DSQ,Ret,10,7,9,Ret,7,Ret,11,Ret,5
9,Footwork-Hart,16,9,Ret,Ret,11,Ret,Ret,Ret,Ret,11,Ret,11,8,9,Ret,14,13,1
9,Footwork-Hart,17,Ret,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,10,Ret,Ret,Ret,8,Ret,11,1
—,Minardi-Ford,20,Ret,10,Ret,12,9,Ret,Ret,Ret,12,Ret,12,Ret,10,Ret,16,12,0
—,Minardi-Ford,21,Ret,Ret,Ret,13,Ret,Ret,Ret,8,Ret,11,DNQ,10†,DNQ,Ret,15,DNQ,0
—,Forti-Ford,22,DNQ,11,Ret,DNQ,10,Ret,DNQ,Ret,Ret,DNQ,DNP,,,,,,0
—,Forti-Ford,23,DNQ,Ret,10,DNQ,DNQ,DNS,DNQ,Ret,Ret,DNQ,DNP,,,,,,0
Pos.,Constructor,No.,AUS,BRA,ARG,EUR,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,Points
Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9]
