Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Jean Behra,"1, 3–4"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Phil Hill,"1, 3–4, 6–9"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Tony Brooks,"1, 3–4, 6–9"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Cliff Allison,"1, 3, 6, 8–9"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Olivier Gendebien,"4, 8"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Dan Gurney,"4, 6–8"
Scuderia Ferrari,Ferrari,246 156,Ferrari 155 2.4 V6 Ferrari D156 1.5 V6,D,Wolfgang von Trips,9
Scuderia Ugolini,Maserati,250F,Maserati 250F1 2.5 L6,D,Giorgio Scarlatti,"1, 4"
Scuderia Ugolini,Maserati,250F,Maserati 250F1 2.5 L6,D,Carel Godin de Beaufort,4
Monte Carlo Auto Sport,Maserati,250F,Maserati 250F1 2.5 L6,D,André Testut,1
David Brown Corporation,Aston Martin,DBR4,Aston Martin RB6 2.5 L6,A,Roy Salvadori,"3, 5, 7–8"
David Brown Corporation,Aston Martin,DBR4,Aston Martin RB6 2.5 L6,A,Carroll Shelby,"3, 5, 7–8"
Ecurie Maarsbergen,Porsche,718 RSK,Porsche 547/3 1.5 F4,D,Carel Godin de Beaufort,3
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,D,Ian Burgess,"4–6, 8"
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,D,Colin Davis,"4, 8"
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,D,Hans Herrmann,5
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,D,Mario Araujo de Cabral,7
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,D,Asdrúbal Fontes Bayardo,4
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,D,Fritz d'Orey,4–5
Vandervell Products,Vanwall,VW 59,Vanwall 254 2.5 L4,D,Tony Brooks,5
J.B. Naylor,JBW-Maserati,59,Maserati 250S 2.5 L4,D,Brian Naylor,5
Ace Garage – Rotherham,Cooper-Climax,T51,Climax FPF 1.5 L4,D,Trevor Taylor,5
Alan Brown Equipe,Cooper-Climax,T45,Climax FPF 1.5 L4,D,Mike Taylor,5
Alan Brown Equipe,Cooper-Climax,T45,Climax FPF 1.5 L4,D,Peter Ashdown,5
Gilby Engineering,Cooper-Climax,T43,Climax FPF 1.5 L4,D,Keith Greene,5
United Racing Stable,Cooper-Climax,T51,Climax FPF 1.5 L4,D,Bill Moss,5
R.H.H. Parnell,Cooper-Climax,T51 T45,Climax FPF 1.5 L4,D,Henry Taylor,5
R.H.H. Parnell,Cooper-Climax,T51 T45,Climax FPF 1.5 L4,D,Tim Parnell,5
David Fry,Fry-Climax,F2,Climax FPF 1.5 L4,D,Mike Parkes,5
Dennis Taylor,Lotus-Climax,12,Climax FPF 1.5 L4,D,Dennis Taylor,5
Dorchester Service Station,Lotus-Climax,16,Climax FPF 1.5 L4,D,David Piper,5
Jean Behra,Behra-Porsche-Porsche,RSK,Porsche 547/3 1.5 F4,D,Jean Behra,6
Ottorino Volonterio,Maserati,250F,Maserati 250F1 2.5 L6,D,Giulio Cabianca,8
Leader Cards Inc.,Kurtis Kraft-Offenhauser,Midget,Offenhauser 1.7 L4,F,Rodger Ward,9
OSCA Automobili,Cooper-OSCA,T43,OSCA 2.0 L4,D,Alejandro de Tomaso,9
Camoradi USA,Tec-Mec-Maserati,F415,Maserati 250F1 2.5 L6,D,Fritz d'Orey,9
Taylor-Crawley Racing Team,Cooper-Climax,T45,Climax FPF 2.5 L4,D,George Constantine,9
Blanchard Automobile Co.,Porsche,718 RSK,Porsche 547/3 1.5 F4,G,Harry Blanchard,9
Connaught Cars-Paul Emery,Connaught-Alta,C,Alta GP 2.5 L4,D,Bob Said,9
Ecurie Bleue,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Harry Schell,9
Phil Cade,Maserati,250F,Maserati 250F1 2.5 L6,D,Phil Cade,9
