"Nom du circuit,""Lien du circuit"",""Lieu"",""Courses"",""Années d'activité"",""Nombre de Grands Prix"""
"Circuit de Reims-Gueux,""https://fr.wikipedia.org/wiki/Circuit_de_Reims-Gueux"",""Gueux"",""Grand Prix de France"",""1950...(1950, 1951, 1953-1954, 1956, 1958-1961, 1963, 1966)"",""11"""
"Circuit de Riverside,""https://fr.wikipedia.org/wiki/Circuit_de_Riverside"",""Riverside"",""Grand Prix des États-Unis"",""1960"",""1"""
"Circuit de Rouen-les-Essarts,""https://fr.wikipedia.org/wiki/Circuit_de_Rouen-les-Essarts"",""Grand-Couronne"",""Grand Prix de France"",""1952...(1952, 1957, 1962, 1964, 1968)"",""5"""
"Circuit de Scandinavie,""https://fr.wikipedia.org/wiki/Circuit_de_Scandinavie"",""Jönköping"",""Grand Prix de Suède"",""1973-1978"",""6"""
"Sebring International Raceway,""https://fr.wikipedia.org/wiki/Sebring_International_Raceway"",""Sebring"",""Grand Prix des États-Unis"",""1959"",""1"""
"Circuit international de Sepang,""https://fr.wikipedia.org/wiki/Circuit_international_de_Sepang"",""Sepang"",""Grand Prix de Malaisie"",""1999-2017"",""19"""
"Circuit international de Shanghai,""https://fr.wikipedia.org/wiki/Circuit_international_de_Shanghai"",""Shanghai"",""Grand Prix de Chine"",""2004-2019, 2024-2025"",""18"""
"Circuit de Silverstone,""https://fr.wikipedia.org/wiki/Circuit_de_Silverstone"",""Silverstone"",""Grand Prix de Grande-Bretagne, Grand Prix du 70e anniversaire"",""1950-1954...(1950-1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987-2020, 70e 2020-2025)"",""60"""
"Circuit urbain de Singapour,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Singapour"",""Singapour"",""Grand Prix de Singapour"",""2008-2019-2022-2025"",""16"""
"Circuit de Spa-Francorchamps,""https://fr.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"",""Francorchamps"",""Grand Prix de Belgique"",""1950...(1950-1956, 1958, 1960-1968, 1970, 1983, 1985-2002, 2004-2005, 2007-2020-2025)"",""58"""
"Autodrome de Sotchi,""https://fr.wikipedia.org/wiki/Autodrome_de_Sotchi"",""Sotchi"",""Grand Prix de Russie"",""2014-2020-2021(description)"",""8"""
"Circuit de Suzuka,""https://fr.wikipedia.org/wiki/Circuit_de_Suzuka"",""Suzuka"",""Grand Prix du Japon"",""1987-2006...(1987-2006, 2009-2019-2022-2025)"",""35"""
"Circuit TI,""https://fr.wikipedia.org/wiki/Circuit_TI"",""Mimasaka (ville)"",""Grand Prix du Pacifique"",""1994, 1995"",""2"""
"Circuit urbain de Valence,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Valence"",""Valencia"",""Grand Prix d'Europe"",""2008-2012"",""5"""
"Circuit de Watkins Glen,""https://fr.wikipedia.org/wiki/Watkins_Glen_International"",""Watkins Glen"",""Grand Prix des États-Unis"",""1961-1980"",""20"""
"Circuit Yas Marina,""https://fr.wikipedia.org/wiki/Circuit_Yas_Marina"",""Abou Dabi"",""Grand Prix d'Abou Dabi"",""2009-2020-2022-2023-2025"",""17"""
"Circuit de Yeongam,""https://fr.wikipedia.org/wiki/Circuit_international_de_Cor%C3%A9e"",""Mokpo"",""Grand Prix de Corée du Sud"",""2010-2013"",""4"""
"Circuit de Zandvoort,""https://fr.wikipedia.org/wiki/Circuit_de_Zandvoort"",""Zandvoort"",""Grand Prix des Pays-Bas"",""1952...(1952-1953, 1955, 1958-1971, 1973-1985-2025)"",""35"""
"Circuit de Zeltweg,""https://fr.wikipedia.org/wiki/Circuit_de_Zeltweg"",""Zeltweg"",""Grand Prix d'Autriche"",""1964"",""1"""
"Circuit de Zolder,""https://fr.wikipedia.org/wiki/Circuit_de_Zolder"",""Heusden-Zolder"",""Grand Prix de Belgique"",""1973...(1973, 1975-1982, 1984)"",""10"""
"Circuit de Pau-Ville,""https://fr.wikipedia.org/wiki/Circuit_de_Pau-Ville"",""Pau"",""Grand Prix de Pau"","""","""""
"Circuit de Goodwood,""https://fr.wikipedia.org/wiki/Circuit_de_Goodwood"",""Goodwood"",""Richmond Trophy"","""","""""
"Circuit de San Remo,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_San_Remo&action=edit&redlink=1"",""Sanremo"",""Grand Prix de San Remo"","""","""""
"Circuit de Montlhéry,""https://fr.wikipedia.org/wiki/Autodrome_de_Linas-Montlh%C3%A9ry"",""Montlhéry"",""Grand Prix de Paris"","""","""""
"Circuit de Douglas,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_Douglas&action=edit&redlink=1"",""Douglas"",""British Empire Trophy"","""","""""
"Circuit urbain de Bari,""https://fr.wikipedia.org/w/index.php?title=Circuit_urbain_de_Bari&action=edit&redlink=1"",""Bari"",""Grand Prix de Bari"","""","""""
"Circuit de St.Helier,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_St.Helier&action=edit&redlink=1"",""Saint-Hélier"",""Jersey Road Race"","""","""""
"Circuit d'Albi,""https://fr.wikipedia.org/wiki/Circuit_automobile_d%27Albi_(Les_Planques)"",""Albi"",""Grand Prix d'Albi"","""","""""
"Circuit des Nations,""https://fr.wikipedia.org/wiki/Circuit_des_nations_de_Gen%C3%A8ve"",""Genève"",""Grand Prix des Nations"","""","""""
"Circuit de Gamston,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_Gamston&action=edit&redlink=1"",""Retford"",""Nottigham Trophy"","""","""""
"Circuit de Dundrod,""https://fr.wikipedia.org/wiki/Circuit_de_Dundrod"",""Dundrod"",""Ulster Trophy"","""","""""
"Circuit de Syracuse,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_Syracuse&action=edit&redlink=1"",""Syracuse"",""Grand Prix de Syracuse"","""","""""
"Circuit de Bordeaux,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_Bordeaux&action=edit&redlink=1"",""Bordeaux"",""Grand Prix de Bordeaux"","""","""""
"Circuit du Bois de Boulogne,""https://fr.wikipedia.org/w/index.php?title=Circuit_du_Bois_de_Boulogne&action=edit&redlink=1"",""Paris"",""Grand Prix de Paris"","""","""""
"Circuit de Winfield,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_Winfield&action=edit&redlink=1"",""Winfield"",""Grand Prix d'Écosse"","""","""""
"Circuit de Gávea,""https://fr.wikipedia.org/w/index.php?title=Circuit_de_G%C3%A1vea&action=edit&redlink=1"",""Gávea"",""Grand Prix de Rio de Janeiro"","""","""""
"Circuit du Parc Valentino,""https://fr.wikipedia.org/w/index.php?title=Circuit_du_Parc_Valentino&action=edit&redlink=1"",""Turin"",""Grand Prix de Valentino"","""","""""
