id,title,content,category
circuit_1,"Circuit urbain d'Adélaïde,""https://fr.wikipedia.org/wiki/Circuit_urbain_d%27Ad%C3%A9la%C3%AFde""","Circuit: Circuit urbain d'Adélaïde,""https://fr.wikipedia.org/wiki/Circuit_urbain_d%27Ad%C3%A9la%C3%AFde"". Situe a ""Grand Prix d'Australie"". Courses: ""1985-1995"". Annees d'activite: ""11. ",circuits
circuit_2,"Circuit d'Ain-Diab,""https://fr.wikipedia.org/wiki/Circuit_d%27Ain-Diab""","Circuit: Circuit d'Ain-Diab,""https://fr.wikipedia.org/wiki/Circuit_d%27Ain-Diab"". Situe a ""Grand Prix du Maroc"". Courses: ""1958"". Annees d'activite: ""1. ",circuits
circuit_3,"Circuit urbain de Bakou,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Bakou""","Circuit: Circuit urbain de Bakou,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Bakou"". Situe a ""Grand Prix d'Europe, Grand Prix d'Azerbaïdjan"". Courses: ""2016-2019-2025"". Annees d'activite: ""8. ",circuits
circuit_4,"Circuit d'Aintree,""https://fr.wikipedia.org/wiki/Circuit_d%27Aintree""","Circuit: Circuit d'Aintree,""https://fr.wikipedia.org/wiki/Circuit_d%27Aintree"". Situe a ""Grand Prix de Grande-Bretagne"". Courses: ""1955, 1957...(1955, 1957, 1959, 1961, 1962)"". Annees d'activite: ""5. ",circuits
circuit_5,"Circuit de l'Albert Park,""https://fr.wikipedia.org/wiki/Circuit_de_l%27Albert_Park""","Circuit: Circuit de l'Albert Park,""https://fr.wikipedia.org/wiki/Circuit_de_l%27Albert_Park"". Situe a ""Grand Prix d'Australie"". Courses: ""1996-2019,2022-2025"". Annees d'activite: ""28. ",circuits
circuit_6,"Circuit des Amériques,""https://fr.wikipedia.org/wiki/Circuit_des_Am%C3%A9riques""","Circuit: Circuit des Amériques,""https://fr.wikipedia.org/wiki/Circuit_des_Am%C3%A9riques"". Situe a ""Grand Prix des États-Unis"". Courses: ""2012-2019,2021-2025"". Annees d'activite: ""13. ",circuits
circuit_7,"AVUS,""https://fr.wikipedia.org/wiki/Automobil-Verkehrs-_und_%C3%9Cbungs-Stra%C3%9Fe_GmbH""","Circuit: AVUS,""https://fr.wikipedia.org/wiki/Automobil-Verkehrs-_und_%C3%9Cbungs-Stra%C3%9Fe_GmbH"". Situe a ""Grand Prix d'Allemagne"". Courses: ""1959"". Annees d'activite: ""1. ",circuits
circuit_8,"Circuit international de Sakhir,""https://fr.wikipedia.org/wiki/Circuit_international_de_Sakhir""","Circuit: Circuit international de Sakhir,""https://fr.wikipedia.org/wiki/Circuit_international_de_Sakhir"". Situe a ""Grand Prix de Bahreïn, Grand Prix de Sakhir"". Courses: ""2004-2010 ...(2004-2010, 2012-2025, Sakhir 2020)"". Annees d'activite: ""22. ",circuits
circuit_9,"Circuit de Boavista,""https://fr.wikipedia.org/wiki/Circuit_de_Boavista""","Circuit: Circuit de Boavista,""https://fr.wikipedia.org/wiki/Circuit_de_Boavista"". Situe a ""Grand Prix du Portugal"". Courses: ""1958, 1960"". Annees d'activite: ""2. ",circuits
circuit_10,"Circuit de Brands Hatch,""https://fr.wikipedia.org/wiki/Circuit_de_Brands_Hatch""","Circuit: Circuit de Brands Hatch,""https://fr.wikipedia.org/wiki/Circuit_de_Brands_Hatch"". Situe a ""Grand Prix de Grande-Bretagne, Grand Prix d'Europe"". Courses: ""1964, 1966...(1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982-1986)"". Annees d'activite: ""14. ",circuits
circuit_11,"Circuit de Bremgarten,""https://fr.wikipedia.org/wiki/Circuit_de_Bremgarten""","Circuit: Circuit de Bremgarten,""https://fr.wikipedia.org/wiki/Circuit_de_Bremgarten"". Situe a ""Grand Prix de Suisse"". Courses: ""1950-1954"". Annees d'activite: ""5. ",circuits
circuit_12,"Circuit Bugatti,""https://fr.wikipedia.org/wiki/Circuit_Bugatti""","Circuit: Circuit Bugatti,""https://fr.wikipedia.org/wiki/Circuit_Bugatti"". Situe a ""Grand Prix de France"". Courses: ""1967"". Annees d'activite: ""1. ",circuits
circuit_13,"Circuit international Buddh,""https://fr.wikipedia.org/wiki/Circuit_international_Buddh""","Circuit: Circuit international Buddh,""https://fr.wikipedia.org/wiki/Circuit_international_Buddh"". Situe a ""Grand Prix d'Inde"". Courses: ""2011-2013"". Annees d'activite: ""3. ",circuits
circuit_14,"Circuit du Caesars Palace,""https://fr.wikipedia.org/wiki/Circuit_du_Caesars_Palace""","Circuit: Circuit du Caesars Palace,""https://fr.wikipedia.org/wiki/Circuit_du_Caesars_Palace"". Situe a ""Grand Prix de Las Vegas"". Courses: ""1981, 1982, 2023-2025"". Annees d'activite: ""5. ",circuits
circuit_15,"Circuit de Catalogne,""https://fr.wikipedia.org/wiki/Circuit_de_Catalogne""","Circuit: Circuit de Catalogne,""https://fr.wikipedia.org/wiki/Circuit_de_Catalogne"". Situe a ""Grand Prix d'Espagne"". Courses: ""1991-2025"". Annees d'activite: ""35. ",circuits
circuit_16,"Circuit de Charade,""https://fr.wikipedia.org/wiki/Circuit_de_Charade""","Circuit: Circuit de Charade,""https://fr.wikipedia.org/wiki/Circuit_de_Charade"". Situe a ""Grand Prix de France"". Courses: ""1965, 1969...(1965, 1969, 1970, 1972)"". Annees d'activite: ""4. ",circuits
circuit_17,"Circuit de la corniche de Djeddah,""https://fr.wikipedia.org/wiki/Circuit_de_la_corniche_de_Djeddah""","Circuit: Circuit de la corniche de Djeddah,""https://fr.wikipedia.org/wiki/Circuit_de_la_corniche_de_Djeddah"". Situe a ""Grand Prix automobile d'Arabie saoudite"". Courses: ""2021-2025"". Annees d'activite: ""5. ",circuits
circuit_18,"Circuit urbain de Détroit,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_D%C3%A9troit""","Circuit: Circuit urbain de Détroit,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_D%C3%A9troit"". Situe a ""Grand Prix des États-Unis"". Courses: ""1982-1988"". Annees d'activite: ""7. ",circuits
circuit_19,"Circuit de Dijon-Prenois,""https://fr.wikipedia.org/wiki/Circuit_de_Dijon-Prenois""","Circuit: Circuit de Dijon-Prenois,""https://fr.wikipedia.org/wiki/Circuit_de_Dijon-Prenois"". Situe a ""Grand Prix de France, Grand Prix de Suisse"". Courses: ""1974, 1977...(1974, 1977, 1979, 1981, 1982, 1984)"". Annees d'activite: ""6. ",circuits
circuit_20,"Circuit de Donington Park,""https://fr.wikipedia.org/wiki/Circuit_de_Donington_Park""","Circuit: Circuit de Donington Park,""https://fr.wikipedia.org/wiki/Circuit_de_Donington_Park"". Situe a ""Grand Prix d'Europe"". Courses: ""1993"". Annees d'activite: ""1. ",circuits
circuit_21,"Circuit Enzo et Dino Ferrari,""https://fr.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari""","Circuit: Circuit Enzo et Dino Ferrari,""https://fr.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"". Situe a ""Grand Prix de Saint-Marin, Grand Prix d'Italie, Grand Prix d'Émilie-Romagne"". Courses: ""1980-2021...(1980-2006, 2020-2022, 2024-2025)"". Annees d'activite: ""31. ",circuits
circuit_22,"Circuit d'Estoril,""https://fr.wikipedia.org/wiki/Circuit_d%27Estoril""","Circuit: Circuit d'Estoril,""https://fr.wikipedia.org/wiki/Circuit_d%27Estoril"". Situe a ""Grand Prix du Portugal"". Courses: ""1984-1996"". Annees d'activite: ""13. ",circuits
circuit_23,"Circuit de Fair Park,""https://fr.wikipedia.org/wiki/Circuit_de_Fair_Park""","Circuit: Circuit de Fair Park,""https://fr.wikipedia.org/wiki/Circuit_de_Fair_Park"". Situe a ""Grand Prix des États-Unis"". Courses: ""1984"". Annees d'activite: ""1. ",circuits
circuit_24,"Circuit du Mont Fuji,""https://fr.wikipedia.org/wiki/Fuji_Speedway""","Circuit: Circuit du Mont Fuji,""https://fr.wikipedia.org/wiki/Fuji_Speedway"". Situe a ""Grand Prix du Japon"". Courses: ""1976, 1977...(1976, 1977, 2007-2008)"". Annees d'activite: ""4. ",circuits
