"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"Frazer-Nash","https://en.wikipedia.org/wiki/Frazer_Nash","","United Kingdom","","1952","0"
"Fry","https://en.wikipedia.org/wiki/Fry_(racing_team)","","United Kingdom","","1959","0"
"Gilby Engineering","https://en.wikipedia.org/wiki/Gilby_Engineering","","United Kingdom","","1961–1963","0"
"Gordini","https://en.wikipedia.org/wiki/Gordini","","France","","1952–1956","0"
"Greifzu","https://en.wikipedia.org/wiki/Paul_Greifzu","","East Germany","","1953","0"
"Hesketh","https://en.wikipedia.org/wiki/Hesketh_Racing","","United Kingdom","","1974–1978","1"
"Hill","https://en.wikipedia.org/wiki/Embassy_Hill","","United Kingdom","","1975","0"
"HRT","https://en.wikipedia.org/wiki/HRT_Formula_1_Team","","Spain","","2010–2012","0"
"Honda","https://en.wikipedia.org/wiki/Honda_in_Formula_One","","Japan","","1964–1968, 2006–2008","3"
"HWM","https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors","","United Kingdom","","1951–1955","0"
"Jaguar","https://en.wikipedia.org/wiki/Jaguar_Racing","","United Kingdom","","2000–2004","0"
"JBW","https://en.wikipedia.org/wiki/JBW","","United Kingdom","","1959–1961","0"
"Jordan","https://en.wikipedia.org/wiki/Jordan_Grand_Prix","","Ireland","","1991–2005","4"
"Kauhsen","https://en.wikipedia.org/wiki/Kauhsen","","Germany","","1979","0"
"Klenk","https://en.wikipedia.org/wiki/Klenk","","Germany","","1954","0"
"Kojima","https://en.wikipedia.org/wiki/Kojima_Engineering","","Japan","","1976–1977","0"
"Kurtis Kraft","https://en.wikipedia.org/wiki/Kurtis_Kraft","","United States","","1950–1960","5"
"Lambo","https://en.wikipedia.org/wiki/Modena_(racing_team)","","Italy","","1991","0"
"Lancia","https://en.wikipedia.org/wiki/Scuderia_Lancia","","Italy","","1954–1955","0"
"Larrousse","https://en.wikipedia.org/wiki/Larrousse","","France","","1993–1994","0"
"LDS","https://en.wikipedia.org/wiki/LDS_(automobile)","","South Africa","","1962–1963, 1965, 1967–1968","0"
"LEC","https://en.wikipedia.org/wiki/LEC_Refrigeration_Racing","","United Kingdom","","1977","0"
