Entrant,Constructor,Chassis,Engine,No,Driver,Rounds
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,11,Philippe Adams,"11, 13"
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,11,Éric Bernard,14
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,11,Mika Salo,15–16
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,12,Johnny Herbert,1–13
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,12,Alessandro Zanardi,14–16
Sasol Jordan,Jordan-Hart,194,Hart 1035 3.5 V10,14,Rubens Barrichello,All
Sasol Jordan,Jordan-Hart,194,Hart 1035 3.5 V10,15,Eddie Irvine,"1, 5–16"
Sasol Jordan,Jordan-Hart,194,Hart 1035 3.5 V10,15,Aguri Suzuki,2
Sasol Jordan,Jordan-Hart,194,Hart 1035 3.5 V10,15,Andrea de Cesaris,3–4
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,19,Olivier Beretta,1–10
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,19,Philippe Alliot,11
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,19,Yannick Dalmas,12–13
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,19,Hideki Noda,14–16
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,20,Érik Comas,1–15
Tourtel Larrousse F1,Larrousse-Ford,LH94,Ford HBF7 / Ford HBF8 3.5 V8,20,Jean-Denis Delétraz,16
Minardi Scuderia Italia,Minardi-Ford,M193B M194,Ford HBC7 / Ford HBC8 3.5 V8,23,Pierluigi Martini,All
Minardi Scuderia Italia,Minardi-Ford,M193B M194,Ford HBC7 / Ford HBC8 3.5 V8,24,Michele Alboreto,All
Ligier Gitanes Blondes,Ligier-Renault,JS39B,Renault RS6 3.5 V10,25,Éric Bernard,1–13
Ligier Gitanes Blondes,Ligier-Renault,JS39B,Renault RS6 3.5 V10,25,Johnny Herbert,14
Ligier Gitanes Blondes,Ligier-Renault,JS39B,Renault RS6 3.5 V10,25,Franck Lagorce,15–16
Ligier Gitanes Blondes,Ligier-Renault,JS39B,Renault RS6 3.5 V10,26,Olivier Panis,All
Scuderia Ferrari,Ferrari,412T1 412T1B,Ferrari Tipo 041 3.5 V12 Ferrari Tipo 043 3.5 V12,27,Jean Alesi,"1, 4–16"
Scuderia Ferrari,Ferrari,412T1 412T1B,Ferrari Tipo 041 3.5 V12 Ferrari Tipo 043 3.5 V12,27,Nicola Larini,2–3
Scuderia Ferrari,Ferrari,412T1 412T1B,Ferrari Tipo 041 3.5 V12 Ferrari Tipo 043 3.5 V12,28,Gerhard Berger,All
Broker Sauber Mercedes Sauber Mercedes,Sauber-Mercedes,C13,Mercedes-Benz 2175B 3.5 V10,29,Karl Wendlinger,1–4
Broker Sauber Mercedes Sauber Mercedes,Sauber-Mercedes,C13,Mercedes-Benz 2175B 3.5 V10,29,Andrea de Cesaris,6–14
Broker Sauber Mercedes Sauber Mercedes,Sauber-Mercedes,C13,Mercedes-Benz 2175B 3.5 V10,29,JJ Lehto,15–16
Broker Sauber Mercedes Sauber Mercedes,Sauber-Mercedes,C13,Mercedes-Benz 2175B 3.5 V10,30,Heinz-Harald Frentzen[b],All
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,31,David Brabham,All
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,32,Roland Ratzenberger,1–3
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,32,Andrea Montermini,5
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,32,Jean-Marc Gounon,7–13
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,32,Domenico Schiattarella,"14, 16"
MTV Simtek Ford,Simtek-Ford,S941,Ford HBD6 3.5 V8,32,Taki Inoue,15
Pacific Grand Prix,Pacific-Ilmor,PR01,Ilmor 2175A 3.5 V10,33,Paul Belmondo,All
Pacific Grand Prix,Pacific-Ilmor,PR01,Ilmor 2175A 3.5 V10,34,Bertrand Gachot,All
Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed],Sources:[citation needed]
