Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Scuderia Achille Varzi,Maserati,4CLT/48 4CL,Maserati 4CLT 1.5 L4 s Maserati 4CL 1.5 L4 s,P,José Froilán González,"2, 6"
Scuderia Achille Varzi,Maserati,4CLT/48 4CL,Maserati 4CLT 1.5 L4 s Maserati 4CL 1.5 L4 s,P,Alfredo Pián,2
Scuderia Achille Varzi,Maserati,4CLT/48 4CL,Maserati 4CLT 1.5 L4 s Maserati 4CL 1.5 L4 s,P,Nello Pagani,4
Scuderia Achille Varzi,Maserati,4CLT/48 4CL,Maserati 4CLT 1.5 L4 s Maserati 4CL 1.5 L4 s,P,Toni Branca,4
Horschell Racing Corporation,Cooper-JAP,T12,JAP 1.1 V2,D,Harry Schell,2
Equipe Gordini,Simca-Gordini,T15,Simca-Gordini 15C 1.5 L4 s,E,Robert Manzon,"2, 6–7"
Equipe Gordini,Simca-Gordini,T15,Simca-Gordini 15C 1.5 L4 s,E,Maurice Trintignant,"2, 7"
Philippe Étancelin,Talbot-Lago,T26C T26C-DA,Talbot 23CV 4.5 L6,D,Philippe Étancelin,"2, 4, 6–7"
Philippe Étancelin,Talbot-Lago,T26C T26C-DA,Talbot 23CV 4.5 L6,D,Eugène Chaboud,6
Ecurie Rosier,Talbot-Lago,T26C T26C-GS,Talbot 23CV 4.5 L6,D,Louis Rosier,"2, 7"
Ecurie Rosier,Talbot-Lago,T26C T26C-GS,Talbot 23CV 4.5 L6,D,Henri Louveau,7
Peter Whitehead,Ferrari,125,Ferrari 125 F1 1.5 V12 s,D P,Peter Whitehead,"2, 6–7"
Scuderia Ferrari,Ferrari,125 166F2-50 275 375,Ferrari 125 F1 1.5 V12 s Ferrari 166 F2 2.0 V12 Ferrari 275 F1 3.3 V12 Ferrari 375 F1 4.5 V12,P,Luigi Villoresi,"2, 4–6"
Scuderia Ferrari,Ferrari,125 166F2-50 275 375,Ferrari 125 F1 1.5 V12 s Ferrari 166 F2 2.0 V12 Ferrari 275 F1 3.3 V12 Ferrari 375 F1 4.5 V12,P,Alberto Ascari,"2, 4–7"
Scuderia Ferrari,Ferrari,125 166F2-50 275 375,Ferrari 125 F1 1.5 V12 s Ferrari 166 F2 2.0 V12 Ferrari 275 F1 3.3 V12 Ferrari 375 F1 4.5 V12,P,Raymond Sommer,"2, 4"
Scuderia Ferrari,Ferrari,125 166F2-50 275 375,Ferrari 125 F1 1.5 V12 s Ferrari 166 F2 2.0 V12 Ferrari 275 F1 3.3 V12 Ferrari 375 F1 4.5 V12,P,Dorino Serafini,7
Scuderia Milano,Maserati-Speluzzi,4CLT/50,Speluzzi 1.5 L4 s[2],P,Felice Bonetto,"4, 6"
Scuderia Milano,Maserati-Speluzzi,4CLT/50,Speluzzi 1.5 L4 s[2],P,Franco Comotti,7
Scuderia Milano,Milano-Speluzzi[3],1[3],Speluzzi 1.5 L4 s[2],P,Felice Bonetto,7
Ecurie Bleue,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Harry Schell,4
Pierre Levegh,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Pierre Levegh,5–7
Raymond Sommer,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Raymond Sommer,"5, 7"
Ecurie Lutetia,Talbot-Lago,T26C-DA,Talbot 23CV 4.5 L6,D,Eugène Chaboud[N 1],5–6
Antonio Branca,Maserati,4CL,Maserati 4CL 1.5 L4 s,P,Toni Branca,5
Charles Pozzi,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Charles Pozzi,6
Charles Pozzi,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Louis Rosier,6
Clemente Biondetti,Ferrari-Jaguar,Biondetti/166 SC,Jaguar XK 3.4 L6,P,Clemente Biondetti,7
Paul Pietsch,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,P,Paul Pietsch,7
Guy Mairesse,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Guy Mairesse,7
