0,1,2,3,4,5,6,7,8,9,10,11
—,Rob Schroeder,,,,,,,,10,,0
—,Ernie Pieterse,,,,,,,,,10,0
—,Ian Burgess,,,,,12,11,DNQ,,,0
—,Tony Settember,,,,,11,,Ret,,,0
—,John Campbell-Jones,,,11,,,,,,,0
—,Hap Sharp,,,,,,,,11,,0
—,Heini Walter,,,,,,14,,,,0
—,Jay Chamberlain,,,,,15,DNQ,DNQ,,,0
—,Wolfgang Seidel,NC,,,,Ret,DNQ,,,,0
—,Roy Salvadori,Ret,Ret,,Ret,Ret,Ret,Ret,DNS,Ret,0
—,Tony Shelly,,,,,Ret,DNQ,DNQ,,,0
—,Keith Greene,,,,,DNS,Ret,DNQ,,,0
—,Ben Pon,Ret,,,,,,,,,0
—,Heinz Schiller,,,,,,Ret,,,,0
—,Bernard Collomb,,,,,,Ret,,,,0
—,Timmy Mayer,,,,,,,,Ret,,0
—,Doug Serrurier,,,,,,,,,Ret,0
—,Mike Harris,,,,,,,,,Ret,0
—,Günther Seiffert,,,,,,DNQ,,,,0
—,Gerry Ashmore,,,,,,,DNQ,,,0
—,Ernesto Prinoth,,,,,,,DNQ,,,0
—,Roberto Lippi,,,,,,,DNQ,,,0
—,Nasif Estéfano,,,,,,,DNQ,,,0
—,Jim Hall,,,,,,,,DNS,,0
